symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IDUA	0.41271165554158307	No data	0.67275032920887	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12258011361794763	No data	No data	No data	0	0	0	0	0	0	No data	0.5548814120242691	-0.9831317243525595	0	No data	No data	No data	-1	0
COX7C	0.4123983991891219	No data	0.2693260700414294	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	0.1395781584532526	No data	No data	No data	0	0	0	0	0	0.2857149999999997	No data	0.08483177054605617	-0.5350655025544945	0	No data	No data	No data	0.5	-1
SPI1	0.41094073650748003	No data	0.20742265632683196	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6036785814511665	No data	No data	0.9194427907725885	No data	No data	No data	0	0	0	0	0	0.42592500000000016	No data	-0.8872586872586873	-0.945904134842603	0	No data	No data	0	0.75	0
QPCT	0.4051419086426055	No data	0.04073973032545955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6522003550028901	No data	No data	0.1819074802975117	No data	No data	No data	0	1	1	1	1	0.0997250000000001	No data	0.5110865968008824	No data	0	No data	No data	0	0.5	0
CSF1R	0.4049383278664958	0.42555155832813474	No data	No data	0.547137717850459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5655237158086833	No data	No data	1	1	0	1	1	1	0	1	-0.7038058466629895	-0.8702764527561618	0	255	No data	0	0.5	-1
MOB3B	0.40428119162585263	No data	0.6650118618996651	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.907405	No data	-0.47964699393270827	No data	0	No data	No data	-0.5254625	0.5	0
PDE4B	0.40307232163071566	No data	0.641071866746088	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4390299160965044	No data	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	255	No data	-0.24932000000000015	0.5	-1
MAK	0.40297189285790586	No data	0.3758373157762024	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5688988359014587	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0.17438500000000018	No data	-0.12851627137341426	0	0	No data	No data	0	1	0.5
CDH13	0.4027720462129512	No data	0.644604338742715	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3585018709363897	No data	No data	No data	1	0	0	0	0	0.6844299999999996	No data	-0.7340319911748483	-0.6675093321534098	0	255	No data	0	0.5	0
FBXL22	0.4002942398742502	No data	0.6584536290098922	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.06926500000000005	No data	0.8126861555432985	0	0	No data	No data	0	0.5	0
ELOVL7	0.39961326132066116	No data	0.654413252151392	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	0.04151741033287864	No data	No data	0	0	0	0	0	0.4306049999999999	No data	0.124765581908439	No data	0	No data	No data	0	-1	0
MRPS27	0.3990445841661311	No data	0.32869746775035075	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5720621415978412	No data	No data	0.09726892761785938	No data	No data	No data	0	0	0	0	0	0	No data	0.3172642029784887	No data	-1	No data	No data	No data	-1	-1
USP6NL	0.3954354931965726	No data	0.6436011142873493	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13720490754938267	No data	No data	No data	0	0	0	0	0	0.09420500000000018	No data	-0.42658576944291227	0	0	No data	No data	0	-1	-1
GABRB1	0.39511658094671104	0.14758195590686116	0.03465097068172166	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	0.09265277190806971	0.012777392385081424	No data	1	1	0	1	1	0	0.9050649999999998	No data	-0.6136789851075566	-0.302505674061726	0	No data	No data	-0.4831225	0.5	0.5
EGFR	0.3947339723918066	No data	0.6012744843629173	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9287333243711418	0.07183172826695267	No data	1	1	1	1	1	1	0.5247950000000003	1	-0.7139547710976282	-0.9856076612666143	0	255	255	0	0.5	0
TSPOAP1	0.3946112765967388	No data	0.6429901791085437	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12230813669742056	No data	No data	No data	0	0	0	0	0	0.1060850000000002	No data	-0.604522890237176	-0.19187701174133848	0	No data	No data	0	0.5	-1
SCIMP	0.39136792946479754	No data	0.6383935526921289	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10753946993300417	No data	No data	No data	1	0	0	0	0	0	No data	0.4738003309431882	0	0	No data	No data	0	0.5	0
MINDY2	0.3899681373582496	No data	0.6393950993138747	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.041457503003792494	No data	No data	No data	0	0	0	0	0	0.11433000000000035	No data	0.08736900165471595	-0.5498696049048243	0	No data	No data	0	-1	-1
CNTNAP2	0.3896089490907917	No data	0.6242832261794936	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12518500874795904	0.009227272432312071	0.27393361740379646	No data	0	0	0	0	0	0.688205	No data	-0.40794263651406504	-0.3315356520723639	0	No data	No data	0	0.75	0.5
