"dataset";"trait";"gene_list";"cluster";"median.genes";"median.umi";"median.score_genetic";"neg.log10.p.val_genetic";"neg.log10.p.val.adj_genetic";"median.score_drugs";"neg.log10.p.val_drugs";"neg.log10.p.val.adj_drugs"
"lung_bronchi_human_A50";"NAFLD";"all_genes";"cluster_2";1346;2732.5;-0.0178083622941257;0.155442007650516;0;"0.267562889315341";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"NAFLD";"all_genes";"cluster_3";3425.5;12152.5;-0.0245959978993576;0.0965193628056004;0;"0.229012331007182";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"NAFLD";"all_genes";"cluster_4";1851;4108;-0.0174560263286389;0.17144797090516;0;"0.19809385036155";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"PAR";"all_genes";"cluster_0";1713;3700;0.0792454920950438;2.67782413254294;1.97885412820692;"0.00247223031250546";"0.45411809792102";"0"
"lung_bronchi_human_A50";"PAR";"all_genes";"cluster_1";5994;38503;0.0267527635729883;0.811114943516009;0.11214493917999;"-0.00664863092741874";"0.269907423280185";"0"
"lung_bronchi_human_A50";"PAR";"all_genes";"cluster_2";1346;2732.5;0.115595948356703;3.69901343161288;3.00004342727686;"0.00814562251901391";"0.509523117913514";"0"
"lung_bronchi_human_A50";"PAR";"all_genes";"cluster_3";3425.5;12152.5;0.085925283272896;2.74477092217356;2.04580091783754;"0.00351567827601845";"0.390449018051643";"0"
"lung_bronchi_human_A50";"PAR";"all_genes";"cluster_4";1851;4108;0.096155532139182;3.5229221725572;2.82395216822118;"0.0226396519572439";"0.652323210242824";"0"
"lung_bronchi_human_A50";"SCZ";"all_genes";"cluster_0";1713;3700;-0.0275235524475124;0.0143475675870206;0;"0.227029507861733";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"SCZ";"all_genes";"cluster_1";5994;38503;-0.0200721224131307;0.0531492321745359;0;"0.231423917034209";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"SCZ";"all_genes";"cluster_2";1346;2732.5;-0.0259947307362721;0.019812735885831;0;"0.275664369390747";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"SCZ";"all_genes";"cluster_3";3425.5;12152.5;-0.0302338587771886;0.0108161535463258;0;"0.252791290264919";"4.00004342727686";"3.30107342294084"
