CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
30x32_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
30x34_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
30x36_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
30x38_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
30x40_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
30x42_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
30x44_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
30x46_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
30x48_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
30x50_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
30x52_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
30x54_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
31x19_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
31x21_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
31x23_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
31x25_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
31x27_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
31x29_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
31x31_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
31x33_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
31x35_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
31x37_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
31x39_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
31x41_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
31x43_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
31x45_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
31x47_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
31x49_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
31x51_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
31x53_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
32x18_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
32x20_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
32x22_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
32x24_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
32x26_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
32x28_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
32x30_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
32x32_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
32x34_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
32x36_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
32x38_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
32x40_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
32x42_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
32x44_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
32x46_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
32x48_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
32x50_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
32x52_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
32x54_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
33x19_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
33x21_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
33x23_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
33x25_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
33x27_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
33x29_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
33x31_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
33x33_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
33x35_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
33x37_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
33x39_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
33x41_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
33x43_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
33x45_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
33x47_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
33x49_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
33x51_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
33x53_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
33x55_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
34x18_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
34x20_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
34x22_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
34x24_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
34x26_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
34x28_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
34x30_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
34x32_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
34x34_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
34x36_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
34x38_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
34x40_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
34x42_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
