CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
17x33_1  ;0.1404248;0        ;3.000043 ;2.221892 
17x35_1  ;0.1404248;0        ;3.000043 ;2.221892 
17x37_1  ;0.1404248;0        ;3.000043 ;2.221892 
17x39_1  ;0.1745524;0        ;3.522922 ;2.744771 
17x41_1  ;0.1479906;0        ;3.045801 ;2.267650 
17x43_1  ;0.1745524;0        ;3.522922 ;2.744771 
17x45_1  ;0.1745524;0        ;3.522922 ;2.744771 
17x47_1  ;0.1404248;0        ;3.000043 ;2.221892 
17x49_1  ;0.1479906;0        ;3.045801 ;2.267650 
17x51_1  ;0.1479906;0        ;3.045801 ;2.267650 
17x53_1  ;0.1745524;0        ;3.522922 ;2.744771 
17x55_1  ;0.2152122;0        ;3.397983 ;2.619832 
18x26_1  ;0.1404248;0        ;3.000043 ;2.221892 
18x28_1  ;0.1589343;0        ;3.699013 ;2.920862 
18x30_1  ;0.1404248;0        ;3.000043 ;2.221892 
18x32_1  ;0.1479906;0        ;3.045801 ;2.267650 
18x34_1  ;0.1404248;0        ;3.000043 ;2.221892 
18x36_1  ;0.1479906;0        ;3.045801 ;2.267650 
18x38_1  ;0.1479906;0        ;3.045801 ;2.267650 
18x40_1  ;0.1745524;0        ;3.522922 ;2.744771 
18x42_1  ;0.1404248;0        ;3.000043 ;2.221892 
18x44_1  ;0.2152122;0        ;3.397983 ;2.619832 
18x46_1  ;0.1382701;0        ;3.221892 ;2.443741 
18x48_1  ;0.1479906;0        ;3.045801 ;2.267650 
18x50_1  ;0.1745524;0        ;3.522922 ;2.744771 
18x52_1  ;0.1745524;0        ;3.522922 ;2.744771 
18x54_1  ;0.1745524;0        ;3.522922 ;2.744771 
19x25_1  ;0.1589343;0        ;3.699013 ;2.920862 
19x27_1  ;0.1382701;0        ;3.221892 ;2.443741 
19x29_1  ;0.1589343;0        ;3.699013 ;2.920862 
19x31_1  ;0.1404248;0        ;3.000043 ;2.221892 
19x33_1  ;0.1479906;0        ;3.045801 ;2.267650 
19x35_1  ;0.1589343;0        ;3.699013 ;2.920862 
19x37_1  ;0.1745524;0        ;3.522922 ;2.744771 
19x39_1  ;0.1745524;0        ;3.522922 ;2.744771 
19x41_1  ;0.1382701;0        ;3.221892 ;2.443741 
19x43_1  ;0.1404248;0        ;3.000043 ;2.221892 
19x45_1  ;0.1589343;0        ;3.699013 ;2.920862 
19x47_1  ;0.1382701;0        ;3.221892 ;2.443741 
19x49_1  ;0.2152122;0        ;3.397983 ;2.619832 
